Station,Distance
JFK/UMass,2.67
Andrew,1.93
Broadway,1.08
South Station,0.26
Downtown Crossing,0
Park Street,-0.23
Charles/MGH,-0.79
Kendall/MIT,-1.5
Central,-2.45
Harvard,-3.52
Porter,-4.51
Davis,-5.17
Alewife,-6.13
