route,type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
411,nk,,,,,,,-0.164583333,0.520833333,0.390740741,0.215625,0.094791667,0.442708333,0.454166667,0.607291667,0.097777778,0.348958333,1.109375,1.1125,0.7,-0.008333333,-0.009722222,,,
424,nk,,,,,,0.225,0.572222222,0.247222222,-0.263888889,,,,,,,,2.638888889,2.177777778,0.252777778,,,,,
426,nk,-0.108333333,3.147222222,2.866666667,,,0.188888889,-0.064814815,0.201041667,-0.553703704,-0.019230769,0.332051282,0.003846154,0.671794872,0.897435897,0.139583333,1.244047619,0.010714286,0.961904762,0.416666667,-0.211904762,0.35952381,0.58974359,0.093055556,0.033333333
428,nk,,,,,,,1.433333333,-1.173809524,-1.652380952,0.65,,,,,,,,0.697619048,0.2,-0.827777778,,,,
429,nk,,,,,,2.294444444,-0.219444444,0.652222222,0.466666667,-0.054761905,-0.232142857,0.436904762,1.136904762,0.686904762,0.097916667,0.18125,1.055952381,1.766666667,0.489285714,0.270238095,-0.108333333,0.075,0.258333333,0.183333333
430,nk,,,,,,0.241666667,0.158333333,0.385,0.288095238,0.101388889,0.297222222,0.494444444,0.804166667,-0.063888889,0.125555556,0.843589744,1.088888889,0.947222222,0.806944444,1.234848485,1.790909091,0.816666667,0.942424242,
431,nk,,,,,,,,-0.016666667,-0.866666667,0.8,1.183333333,-0.9,-0.3,-0.466666667,0.558333333,0.25,0.966666667,,,,,,,
434,nk,,,,,,,-0.116666667,-0.891666667,0.333333333,,,,,,,,,2.055555556,-0.84,,,,,
435,nk,,,,,,,1.380555556,0.351851852,0.565,0.523333333,0.723333333,0.912962963,2.048333333,0.591666667,0.363333333,2.871666667,2.151666667,1.366666667,1.243939394,0.537878788,0.169444444,0.355555556,1.005,-0.125
436,nk,,,,,,,0.892857143,0.851666667,0.086666667,-0.368181818,-0.448611111,0.455555556,0.347222222,1.0375,0.224444444,0.34,1.280769231,1.761111111,0.4875,-0.327083333,,,,
439,nk,,,,,,,-0.2875,-3.7125,-2.216666667,,,,,,0.2625,,,0.005555556,-1.266666667,22.41666667,,,,
441,nk,,,,,,,0.9,0.856944444,0.095833333,0.252777778,-0.043055556,0.097222222,0.272222222,0.277777778,0.222222222,0.152777778,0.116666667,0.561111111,-0.080769231,0.110606061,2.1,,,
