Route,Average of scheduledrunning,MIN,KEY/NONKEY,#ofSamples,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
111,155.72,2.6,K,26436,0.0730,0.0966,0.1522,0.0308,0.0446,0.0466,0.0774,0.0656,0.2640,0.1098,0.1112,0.1545,0.1108,0.1092,0.0388,-0.0269,0.0196,0.0697
23,207.51,3.46,K,23588,0.0062,0.0809,0.0407,0.0755,0.0683,0.1167,0.1009,0.0699,-0.0936,0.0688,0.0881,0.1577,0.0479,0.0436,0.0230,0.0886,0.0509,-0.0182
28,213.46,3.56,K,22931,0.0124,0.1117,0.0803,0.0909,0.1110,0.0750,0.0061,0.0016,0.0236,0.0881,0.1288,0.2075,0.1286,0.0124,0.0724,0.0635,0.0632,0.0208
39,238.71,3.98,K,22779,0.0113,-0.0754,-0.0764,-0.0897,-0.0554,0.0067,0.0397,-0.0165,0.0260,-0.0058,0.0939,0.1917,0.0392,0.0224,-0.0436,0.0483,0.0508,0.1119
77,212.68,3.54,K,19400,-0.0263,0.0620,0.0232,0.0213,0.0019,0.0758,0.0555,0.0303,0.0573,0.0313,-0.0379,0.0532,-0.0462,-0.0888,-0.1011,-0.0667,0.0073,-0.0097
32,224.39,3.74,K,16864,0.0111,0.0671,0.0547,0.0417,0.0521,0.0330,0.0370,-0.3973,0.0416,0.0389,0.0696,0.0361,0.0150,0.0081,-0.0535,0.0089,-0.0022,0.0432
1,248.3,4.14,K,16672,0.0843,0.0954,0.1009,0.1246,0.2031,0.1890,0.2457,0.2663,0.1737,0.1412,0.1165,0.1530,0.1077,0.0214,0.0025,0.0707,0.1042,0.0569
66,336.59,5.61,K,16354,0.0381,0.0394,-0.0253,0.0561,0.0676,0.0680,0.1294,0.1678,0.0670,0.1363,0.0999,0.2093,0.0119,0.0906,0.1101,0.0709,0.0815,0.0303
22,220.06,3.67,K,15883,0.1122,0.0861,0.1111,0.1383,0.1429,0.1349,0.1011,0.1989,-0.0089,0.0650,0.1358,0.1358,0.1062,0.0429,0.0582,0.0804,0.0460,0.1065
57,256.31,4.27,K,15621,0.0098,0.1106,0.1887,0.1123,-0.0399,-0.0111,0.0334,-0.0205,0.0581,0.0167,-0.0131,0.1441,0.0699,0.0011,0.0254,0.0086,-0.0396,0.0045
73,221.8,3.7,K,14372,0.0364,0.0800,0.1582,-0.0222,-0.0334,-0.0353,0.0075,0.0158,0.0177,0.0368,0.0162,0.1041,0.0988,-0.0068,0.0556,0.0008,-0.0830,-0.0466
71,222.65,3.71,K,12728,0.1093,0.0352,0.1355,0.1100,0.0460,0.0531,0.1037,0.0011,0.0037,0.0640,0.0247,0.0838,0.0827,0.0026,-0.0378,0.0475,0.0689,0.0591
15,228.5,3.81,K,11120,0.0835,0.0983,0.0044,0.0813,0.0449,0.0824,-0.0117,0.0656,0.0875,0.0077,0.1239,0.1956,0.0565,0.0650,0.0103,0.0903,0.0197,0.0453
117,269.98,4.5,K,6106,0.0975,0.1133,0.0938,0.1605,0.1837,0.1445,0.1262,0.0917,0.1658,0.1247,0.2003,0.2012,0.0346,0.0278,0.0636,0.0577,-0.0022,0.0256
116,349.75,5.83,K,5761,0.0752,0.1753,0.2210,0.1009,0.1187,0.1893,0.1064,0.0652,0.1635,0.0443,0.0981,0.1804,0.1046,0.0315,0.0915,0.0964,0.0289,0.0031
