year,auto,carpool,transit,walk,bike,other,wfh,source
1980,47.3,0,33.7,16.6,0,1.3,1.1,ctps
1990,40.1,10.5,31.1,14,0.9,1.2,2.2,census
2000,41.5,9.2,32.3,13,1,1,2.4,census sf3
2010,38.3,7.3,32.8,15.8,1.4,0.4,3.9,acs
2013,40.6,5.4,33,14.5,1.9,1.1,3.4,acs
